"","Year","Month","Total","ds","meter","consumption"
"126",2009,8,483.4393,2009-08-01,"Hot water/AC",192.081
"127",2009,9,708.7222,2009-09-01,"Hot water/AC",295.843
"128",2009,10,854.7793,2009-10-01,"Hot water/AC",328.312
"129",2009,11,917.721766666667,2009-11-01,"Hot water/AC",335.532
"130",2009,12,1013.81086666667,2009-12-01,"Hot water/AC",382.896
"131",2010,1,990.465166666667,2010-01-01,"Hot water/AC",396.971
"132",2010,2,925.0694,2010-02-01,"Hot water/AC",411.716
"133",2010,3,801.275433333333,2010-03-01,"Hot water/AC",324.151
"134",2010,4,740.489033333333,2010-04-01,"Hot water/AC",336.168
"135",2010,5,813.784066666667,2010-05-01,"Hot water/AC",364.256
"136",2010,6,696.291133333333,2010-06-01,"Hot water/AC",307.258
"137",2010,7,539.536033333333,2010-07-01,"Hot water/AC",192.914
"138",2010,8,367.7689,2010-08-01,"Hot water/AC",160.208
"139",2010,9,605.130533333333,2010-09-01,"Hot water/AC",257.909
"140",2010,10,864.788033333333,2010-10-01,"Hot water/AC",315.053
"141",2010,11,745.344466666667,2010-11-01,"Hot water/AC",247.868
"142",2007,1,1149.8795,2007-01-01,"Other",684.6175
"143",2007,2,941.5321,2007-02-01,"Other",559.0511
"144",2007,3,976.5174,2007-03-01,"Other",522.8494
"145",2007,4,589.552533333333,2007-04-01,"Other",317.886533333333
"146",2007,5,733.235833333333,2007-05-01,"Other",356.323833333333
"147",2007,6,593.688233333333,2007-06-01,"Other",274.420233333333
"148",2007,7,496.875833333333,2007-07-01,"Other",243.116833333333
"149",2007,8,567.108566666667,2007-08-01,"Other",256.355566666667
"150",2007,9,697.305266666667,2007-09-01,"Other",344.339266666667
"151",2007,10,823.7618,2007-10-01,"Other",434.3928
"152",2007,11,931.9192,2007-11-01,"Other",507.7192
"153",2007,12,1208.8101,2007-12-01,"Other",690.4371
"154",2008,1,1085.08543333333,2008-01-01,"Other",648.284433333333
"155",2008,2,824.321533333333,2008-02-01,"Other",470.448533333333
"156",2008,3,923.250333333333,2008-03-01,"Other",503.926333333333
"157",2008,4,806.6246,2008-04-01,"Other",390.4156
"158",2008,5,759.243466666667,2008-05-01,"Other",357.227466666667
"159",2008,6,717.8899,2008-06-01,"Other",295.8399
"160",2008,7,587.681866666667,2008-07-01,"Other",269.758866666667
"161",2008,8,207.358166666667,2008-08-01,"Other",101.980166666667
"162",2008,9,711.9782,2008-09-01,"Other",328.9712
"163",2008,10,846.871666666667,2008-10-01,"Other",462.986666666667
"164",2008,11,997.300166666667,2008-11-01,"Other",603.660166666667
"165",2008,12,948.320866666667,2008-12-01,"Other",555.511866666667
"166",2009,1,1046.63843333333,2009-01-01,"Other",570.483433333333
"167",2009,2,838.851066666667,2009-02-01,"Other",444.336066666667
"168",2009,3,912.903,2009-03-01,"Other",470.697
"169",2009,4,817.095366666667,2009-04-01,"Other",404.128366666667
"170",2009,5,755.282833333333,2009-05-01,"Other",349.871833333333
"171",2009,6,561.477733333333,2009-06-01,"Other",239.249733333333
"172",2009,7,460.083033333333,2009-07-01,"Other",211.490033333333
"173",2009,8,483.4393,2009-08-01,"Other",219.5803
"174",2009,9,708.7222,2009-09-01,"Other",315.2412
"175",2009,10,854.7793,2009-10-01,"Other",417.2803
"176",2009,11,917.721766666667,2009-11-01,"Other",468.271766666667
"177",2009,12,1013.81086666667,2009-12-01,"Other",519.623866666667
"178",2010,1,990.465166666667,2010-01-01,"Other",483.039166666667
"179",2010,2,925.0694,2010-02-01,"Other",410.5194
"180",2010,3,801.275433333333,2010-03-01,"Other",381.240433333333
"181",2010,4,740.489033333333,2010-04-01,"Other",329.657033333333
"182",2010,5,813.784066666667,2010-05-01,"Other",348.966066666667
"183",2010,6,696.291133333333,2010-06-01,"Other",275.985133333333
"184",2010,7,539.536033333333,2010-07-01,"Other",294.235033333333
"185",2010,8,367.7689,2010-08-01,"Other",168.0759
"186",2010,9,605.130533333333,2010-09-01,"Other",277.808533333333
"187",2010,10,864.788033333333,2010-10-01,"Other",441.316033333333
"188",2010,11,745.344466666667,2010-11-01,"Other",409.032466666667
